Unnamed: 0,Start,End,Speaker,Text
0,0:00:00,0:01:00,SPEAKER 2," Warren Buffett needs little introduction.  He's the godfather of modern-day investing.  For nearly 50 years,  Buffett has run Berkshire Hathaway,  which owns over 60 companies like GEICO and Dairy Queen,  plus minority stakes in Apple,  Coca-Cola and many others.  His $82.5 billion fortune makes him the third  richest person in the world,  and he's vowed to give nearly all of it away.  The Oracle of Omaha is here to talk about what shaped his investment strategy and how to master today's market.  I'm Andy Serwer.  Welcome to a special edition of Influencers from Omaha,  Nebraska.  It's my pleasure to welcome Berkshire Hathaway CEO Warren Buffett.  Warren, welcome. "
1,0:01:00,0:01:01,BUFFETT, Thanks for coming.
2,0:01:01,0:01:08,SPEAKER 2," So let's start off and talk about the economy a little bit.  And obviously we've been on a good long run here.   A very long run.  And yet, does that surprise you?  And what would be the signs that you would look for to see that things were winding down?"
5,0:01:16,0:02:01,BUFFETT," Well, I look at a lot of figures just in connection with our businesses.  I like to get numbers.  So I'm getting reports in weekly in some businesses.  But that doesn't tell me what the economy is going to do six months from now or three months from now.  It tells me what's going on now with our businesses.  And it really doesn't make any difference  in what I do today in terms of buying stocks or buying businesses,  what those numbers tell me.  They're interesting,  but they're not guidance to me.  If we buy a business,  we're going to hold it forever.  So we're going to have good years,  bad years, in between years, maybe a disastrous year, some year.  And we care a lot about the price.  We do not care about the next 12 months. "
6,0:02:02,0:02:06,SPEAKER 2, But are you surprised at how long this economy has been expanding?
7,0:02:06,0:03:29,BUFFETT," I've been surprised by all kinds of things in the last 10 years about the economy.  I mean, I don't think there was  any economist I've ever read that  talked about negative interest rates for long periods of time.  I mean, if you go back and read Keynes or you  read Samuelson, you read any of them, they do not  get into a negative rate  environment.  I think now there's still $11 trillion of government debt around the world that's at  a negative rate.  So  we've never seen it before.  And we've never seen at least the conventional  wisdom on a sustained period of  long and growing deficits while the economy is getting better,  extremely low interest rates,  and really very little inflation.  So something different is happening,  but something different happens all the time.  And that's one reason economic predictions just don't enter into our decisions.  Charlie Munger, my partner, and I,  in 54 years now,  we've never made a decision based on an economic prediction.  We make business predictions about what individual businesses will do over time.  And we compare that to what we have to pay for.  But we have never said yes to something because we thought  the economy was going to do well in the next year or two years.  And we've never said no to anything because we were right in the middle of a panic even if the price was right.   All right.  So you don't pay much attention to the dismal scientists then, I guess.  Well,  I pay none in the sense of as a guideline to doing anything.  It's entertainment.  I mean, you know, it's like going to a variety show or something like that.  But  I just don't know  of any economist that  actually has  bought businesses successfully or done well in stocks.  Paul Samuelson did.  And you may know he was a big shareholder at Berkshire.  But  it's,  you know, they make guesses.  And there's so many variables.  I mean, in the hard sciences,  you know that  if an apple falls from a tree,  that it isn't going to change over the centuries because of anything or political developments or 400  other variables that go in.  But when you get into economics, there's so many variables. And the truth is you've got to expect good times and bad times  in business.  And if you were to buy an auto dealership and you're,  you know, wherever you live locally or a McDonald's franchise or anything like that,  you wouldn't try and time the purchase.  You try and make the right purchase at the right price and you want to be sure you got a good business.  But you wouldn't say I'm going to buy it because  growth this year is going to be 3 percent instead of 2.8 percent or something.  Fair enough."
12,0:04:54,0:04:57,SPEAKER 2, You have over a hundred billion dollars of cash.
13,0:04:57,0:04:58,BUFFETT, Berkshire does.
14,0:04:58,0:05:14,SPEAKER 2," Berkshire.  I don't even see how much you got.  Maybe you do.  Berkshire has over a hundred billion in cash.  And you say that you always want this company to be a fortress.  So how much cash should an ordinary investor have on a percentage basis,  do you think? "
15,0:05:14,0:05:18,BUFFETT," It depends on a personal situation.  If you're working in something where you're not a big investor,  you're not going to have a lot of cash.  If you're working in something where you're living off your paycheck from  week to week, you want to have a little cash around.  And you certainly don't want to have a credit card that's maxed out or anything like that.  But if,  you know, if your house is paid off,  if you don't have big living expenses,  you got a portfolio of decent, diversified businesses,  you  don't really need any cash. "
18,0:05:46,0:05:51,SPEAKER 2, So you can be more cash free than Berkshire is.
19,0:05:52,0:06:28,BUFFETT," Yeah.  Yeah.  I've got responsible, you know, we've got insurance claims.  We could have hurricanes that,  you know, would happen.  All kinds of things where you might have to pay out billions of dollars.  And I've got over a million people that own  shares that are counting to run the place.  So we get through periods like that.  But if I were retired, I had to  say a million dollar  portfolio stocks that was paying me 30 ,000 a year in dividends or something of the sort.  And my children had been growing,  the house was paid off and everything.  I wouldn't worry too much about having a lot of cash around. "
20,0:06:29,0:06:44,SPEAKER 2," Let's talk a little bit about Apple.  Everyone always wants to talk about Apple,  right?  It's kind of the it stock, it company.  You have a 45 billion dollar stake,  more or less.  How closely do you follow the company?  You know, people are concerned they haven't really introduced any new products. "
